Date,Close
8/24/2001,"1,184.93"
8/27/2001,"1,179.21"
8/28/2001,"1,161.51"
8/29/2001,"1,148.60"
8/30/2001,"1,129.03"
8/31/2001,"1,133.58"
9/4/2001,"1,132.94"
9/5/2001,"1,131.74"
9/6/2001,"1,106.40"
9/7/2001,"1,085.78"
9/10/2001,"1,092.54"
9/17/2001,"1,038.77"
9/18/2001,"1,032.74"
9/19/2001,"1,016.10"
9/20/2001,984.54
9/21/2001,965.8
9/24/2001,"1,003.45"
9/25/2001,"1,012.27"
9/26/2001,"1,007.04"
9/27/2001,"1,018.61"
9/28/2001,"1,040.94"
10/1/2001,"1,038.55"
10/2/2001,"1,051.33"
10/3/2001,"1,072.28"
10/4/2001,"1,069.63"
10/5/2001,"1,071.38"
10/8/2001,"1,062.44"
10/9/2001,"1,056.75"
10/10/2001,"1,080.99"
10/11/2001,"1,097.43"
10/12/2001,"1,091.65"
10/15/2001,"1,089.98"
10/16/2001,"1,097.54"
10/17/2001,"1,077.09"
10/18/2001,"1,068.61"
10/19/2001,"1,073.48"
10/22/2001,"1,089.90"
10/23/2001,"1,084.78"
10/24/2001,"1,085.20"
10/25/2001,"1,100.09"
10/26/2001,"1,104.61"
10/29/2001,"1,078.30"
10/30/2001,"1,059.79"
10/31/2001,"1,059.78"
11/1/2001,"1,084.10"
11/2/2001,"1,087.20"
11/5/2001,"1,102.84"
11/6/2001,"1,118.86"
11/7/2001,"1,115.80"
11/8/2001,"1,118.54"
11/9/2001,"1,120.31"
11/12/2001,"1,118.33"
11/13/2001,"1,139.09"
11/14/2001,"1,141.21"
11/15/2001,"1,142.24"
11/16/2001,"1,138.65"
11/19/2001,"1,151.06"
11/20/2001,"1,142.66"
11/21/2001,"1,137.03"
11/23/2001,"1,150.34"
11/26/2001,"1,157.42"
11/27/2001,"1,149.50"
11/28/2001,"1,128.52"
11/29/2001,"1,140.20"
11/30/2001,"1,139.45"
12/3/2001,"1,129.90"
12/4/2001,"1,144.80"
12/5/2001,"1,170.35"
12/6/2001,"1,167.10"
12/7/2001,"1,158.31"
12/10/2001,"1,139.93"
12/11/2001,"1,136.76"
12/12/2001,"1,137.07"
12/13/2001,"1,119.38"
12/14/2001,"1,123.09"
12/17/2001,"1,134.36"
12/18/2001,"1,142.92"
12/19/2001,"1,149.56"
12/20/2001,"1,139.93"
12/21/2001,"1,144.89"
12/24/2001,"1,144.65"
12/26/2001,"1,149.37"
12/27/2001,"1,157.13"
12/28/2001,"1,161.02"
12/31/2001,"1,148.08"
1/2/2002,"1,154.67"
1/3/2002,"1,165.27"
1/4/2002,"1,172.51"
1/7/2002,"1,164.89"
1/8/2002,"1,160.71"
1/9/2002,"1,155.14"
1/10/2002,"1,156.55"
1/11/2002,"1,145.60"
1/14/2002,"1,138.41"
1/15/2002,"1,146.19"
1/16/2002,"1,127.57"
1/17/2002,"1,138.88"
